method,shots,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1
zero_shot,0,0.9808,0.9808,0.9807958268019468,0.9808,0.9807512098516428,0.9807958268019468,0.9808,0.9807512098516428
coop,8,0.9708,0.9708,0.970888002560061,0.9708,0.9707158804521312,0.9708880025600612,0.9708,0.970715880452131
few_shot_linear_probe,8,0.934,0.934,0.9409267870160022,0.934,0.9344621136893048,0.9409267870160024,0.934,0.9344621136893048
coop,16,0.9724,0.9724,0.9727093810949892,0.9724,0.9723985003328148,0.9727093810949892,0.9724,0.972398500332815
few_shot_linear_probe,16,0.9544,0.9544,0.956539944786873,0.9544,0.9543253364021774,0.9565399447868728,0.9544,0.9543253364021776
coop,32,0.9724,0.9724,0.9726141648593604,0.9724,0.972371066580814,0.9726141648593606,0.9724,0.972371066580814
few_shot_linear_probe,32,0.9612,0.9611999999999998,0.9625356780796274,0.9611999999999998,0.9613312174130084,0.9625356780796274,0.9612,0.9613312174130084
coop,64,0.9692,0.9692,0.9696985833808056,0.9692,0.9691100548128392,0.9696985833808054,0.9692,0.9691100548128394
few_shot_linear_probe,64,0.9672,0.9672,0.9680206779761058,0.9672,0.9672799678678056,0.9680206779761058,0.9672,0.9672799678678056
coop,128,0.974,0.974,0.9742620571534826,0.974,0.9740120571804936,0.9742620571534824,0.974,0.9740120571804936
few_shot_linear_probe,128,0.9732,0.9732,0.9732173417731992,0.9732,0.9731667286145254,0.9732173417731992,0.9732,0.9731667286145256
